id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
5578,唐嵌绿松石金铊尾,唐,无,三级,无,陕西博物馆,无,长3.4cm，宽1.2cm，0.018kg,金银器,无,https://www.sxhm.com/collections/detail/9890.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019a927934e.JPG
5579,唐三彩罐,唐,无,二级,无,陕西博物馆,无,高28cm，口径9cm，1.910kg,陶器,无,https://www.sxhm.com/collections/detail/9891.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019aa688c47.jpg
5580,西周灰陶罐,周,无,三级,无,陕西博物馆,无,高11cm，口径 8.5cm，0.540kg,陶器,无,https://www.sxhm.com/collections/detail/9892.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019aaa317a7.jpg
5581,唐鎏金刻花银则,唐,无,二级,无,陕西博物馆,无,长27.7cm，0.071kg,金银器,无,https://www.sxhm.com/collections/detail/9893.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019ab2ef8c1.JPG
5582,唐彩绘陶黑人男立俑,唐,无,二级,无,陕西博物馆,无,高16.5cm，0.185kg,陶器,无,https://www.sxhm.com/collections/detail/9894.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019ad4a5636.JPG
5583,唐素面银长杯,唐,无,二级,无,陕西博物馆,无,口径11.2×6.2cm，高3.2cm，0.073kg,金银器,无,https://www.sxhm.com/collections/detail/9895.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019ad99dd2a.JPG
5584,西周灰陶罐,周,无,三级,无,陕西博物馆,无,高17cm，口径9cm，0.850kg,陶器,无,https://www.sxhm.com/collections/detail/9896.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019ad7bed86.jpg
5585,唐鎏金双鹤纹四曲银长杯,唐,无,二级,无,陕西博物馆,无,口径18.1×14.4cm，高4.5cm，0.317kg,金银器,无,https://www.sxhm.com/collections/detail/9897.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019af451483.JPG
5586,西周灰陶鬲,周,无,二级,无,陕西博物馆,无,高14cm，口径15.5cm，1.025kg,陶器,无,https://www.sxhm.com/collections/detail/9898.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019afa93396.jpg
5587,唐彩绘文官俑,唐,无,二级,无,陕西博物馆,无,高120cm，底座42*48cm，80.000kg,陶器,无,https://www.sxhm.com/collections/detail/9899.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019af3d1544.jpg
5588,清纸本观音像,清,无,一般,无,陕西博物馆,无,纵22cm，横16cm，0.730kg,书法绘画,无,https://www.sxhm.com/collections/detail/9900.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019afa03539.jpg
5589,唐素面海棠形银碟,唐,无,三级,无,陕西博物馆,无,口径14.2×8.8高1.3cm，0.053kg,金银器,无,https://www.sxhm.com/collections/detail/9901.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b0bea73e.JPG
5590,唐绿釉瓶,唐,无,二级,无,陕西博物馆,无,高12.8cm，口径4.5cm，0.248kg,陶器,无,https://www.sxhm.com/collections/detail/9902.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b17ca8ee.JPG
5591,西周灰陶鬲,周,无,二级,无,陕西博物馆,无,高13cm，口径17cm，0.820kg,陶器,无,https://www.sxhm.com/collections/detail/9903.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b20a4765.jpg
5592,唐鎏金刻花银项圈,唐,无,二级,无,陕西博物馆,无,最大径13.4cm，宽1.1cm，0.076kg,金银器,无,https://www.sxhm.com/collections/detail/9904.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b25369c2.JPG
5593,清周少白花卉绢本团扇,清,无,一般,无,陕西博物馆,无,纵25cm，横22cm，0.050kg,书法绘画,无,https://www.sxhm.com/collections/detail/9905.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b27d4c85.jpg
5594,唐三彩花盆,唐,无,二级,无,陕西博物馆,无,高7.8cm，口径22.3cm，1.218kg,陶器,无,https://www.sxhm.com/collections/detail/9906.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b359d666.JPG
5595,唐鎏金透雕双鸳鸯纹银簪,唐,无,未定级,无,陕西博物馆,无,长25.8cm，0.017kg,金银器,无,https://www.sxhm.com/collections/detail/9907.html,https://www.sxhm.com/Uploads/Picture/2023/03/03/s64019b42b2b5f.JPG
