id,name,time,creator,level,placeOfOrigin,museum,type,size,material,description,collectionUrl,imageUrl
95,《鹳雀楼与金门》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681165465260032,https://www.chnmus.net/webfile/collection_img/_45172_/41000002_45172_A_1.JPG
96,《人民大会堂》特种邮票小本票,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681164106305536,https://www.chnmus.net/webfile/collection_img/_45170_/41000002_45170_A_1.JPG
97,《拉卜楞寺》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681164785782784,https://www.chnmus.net/webfile/collection_img/_45171_/41000002_45171_A_1.JPG
98,《三江源自然保护区》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681162256617472,https://www.chnmus.net/webfile/collection_img/_45168_/41000002_45168_A_1.JPG
99,《人民大会堂》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681163019980800,https://www.chnmus.net/webfile/collection_img/_45169_/41000002_45169_A_1.JPG
100,《李先念同志诞生一百周年》纪念邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681160834748416,https://www.chnmus.net/webfile/collection_img/_45166_/41000002_45166_A_1.JPG
101,《杭州湾跨海大桥》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681160130105344,https://www.chnmus.net/webfile/collection_img/_45165_/41000002_45165_A_1.JPG
102,《凤凰古城》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681157860986880,https://www.chnmus.net/webfile/collection_img/_45162_/41000002_45162_A_1.JPG
103,《祝福祖国》特种邮票小本票,中华人民共和国,未知,普通,未知,河南博物院,近现代文物,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681159370936320,https://www.chnmus.net/webfile/collection_img/_45164_/41000002_45164_A_1.JPG
104,《祝福祖国》特种邮票,中华人民共和国,未知,普通,未知,河南博物院,票据,未知,未知,未知,https://www.chnmus.net/content/redirect?id=7066681158594990080,https://www.chnmus.net/webfile/collection_img/_45163_/41000002_45163_A_1.JPG
