id,name,time,leve,location(仅镇馆之宝有),size,material,describe(仅镇馆之宝有),relic_url,img_url
6128,清兽面纹铜鼎,清,一般,,通高26.8cm，口径17.5cm，4.085kg,铜器,,https://www.sxhm.com/collections/detail/11198.html,htps:/Uploads/Picture/2023/04/13/s6437a1bdf079c.JPG
6129,明喜生贵子铭文铜镜,明,三级,,直径13cm，0.420kg,铜器,,https://www.sxhm.com/collections/detail/11199.html,htps:/Uploads/Picture/2023/04/13/s6437a1d6ed2f5.JPG
6130,明“五子登科”铭文铜镜,明,三级,,直径17.8cm，0.704kg,铜器,,https://www.sxhm.com/collections/detail/11200.html,htps:/Uploads/Picture/2023/04/13/s6437a1f0a59ff.JPG
6131,明“宣德五年吴邦佐”款铜宣德炉,明,一般,,高9.4cm，口径13cm，0.953kg,铜器,,https://www.sxhm.com/collections/detail/11201.html,htps:/Uploads/Picture/2023/04/13/s6437a209d46b4.JPG
6132,清鎏金虎钮铜镇,清,一般,,高9.5cm，底宽7cm，1.375kg,铜器,,https://www.sxhm.com/collections/detail/11202.html,htps:/Uploads/Picture/2023/04/13/s6437a223e30ad.JPG
6133,清鎏金兽面纹铜匜,清,一般,,高4.9cm，体长9.9cm，0.129kg,铜器,,https://www.sxhm.com/collections/detail/11203.html,htps:/Uploads/Picture/2023/04/13/s6437a23c579e3.JPG
6134,清仿建安铭龙纹铜镜,清,三级,,直径31.9cm，3.316kg,铜器,,https://www.sxhm.com/collections/detail/11204.html,htps:/Uploads/Picture/2023/04/13/s6437a25b0c5ad.JPG
6135,明多宝纹铜镜,明,三级,,直径10.9cm，0.180kg,铜器,,https://www.sxhm.com/collections/detail/11205.html,htps:/Uploads/Picture/2023/04/13/s6437a27690e45.JPG
6136,清蕉叶纹铜觚,清,一般,,通高63.6cm，口宽47.5cm，20.650kg,铜器,,https://www.sxhm.com/collections/detail/11206.html,htps:/Uploads/Picture/2023/04/13/s6437a2969dd97.JPG
6137,清鎏金八仙过海铜投壶,清,一般,,通高56cm，7.073kg,铜器,,https://www.sxhm.com/collections/detail/11207.html,htps:/Uploads/Picture/2023/04/13/s6437a2bc605b8.JPG
6138,清缠枝花卉纹狮钮铜宣德炉,清,一般,,通高51cm，口径23.2cm，13.320kg,铜器,,https://www.sxhm.com/collections/detail/11208.html,htps:/Uploads/Picture/2023/04/13/s6437a2d38ae2c.JPG
6139,清人形足铜宣德炉,清,一般,,通高39.8cm，口径23cm，10.435kg,铜器,,https://www.sxhm.com/collections/detail/11209.html,htps:/Uploads/Picture/2023/04/13/s6437a2ec640ec.JPG
6140,清骑牛仙人铜像,清,一般,,通高32.9cm，长36.7cm，12.140kg,铜器,,https://www.sxhm.com/collections/detail/11210.html,htps:/Uploads/Picture/2023/04/13/s6437a304583a1.JPG
6141,清骑牛仙人铜像,清,一般,,通高32.9cm，长36.7cm，12.650kg,铜器,,https://www.sxhm.com/collections/detail/11211.html,htps:/Uploads/Picture/2023/04/13/s6437a31c60490.JPG
6142,清骑牛童子铜像,清,一般,,高23cm，长19.7cm，4.365kg,铜器,,https://www.sxhm.com/collections/detail/11212.html,htps:/Uploads/Picture/2023/04/13/s6437a336ce434.JPG
6143,清骑牛童子铜像,清,一般,,高22cm，长21.4cm，4.590kg,铜器,,https://www.sxhm.com/collections/detail/11213.html,htps:/Uploads/Picture/2023/04/13/s6437a3522c04e.JPG
6144,清铜蹲狮,清,一般,,高20cm，长20.3cm，4.361kg,铜器,,https://www.sxhm.com/collections/detail/11214.html,htps:/Uploads/Picture/2023/04/13/s6437a3723d612.JPG
6145,清铜蹲狮,清,一般,,高20cm，长21.7cm，5.475kg,铜器,,https://www.sxhm.com/collections/detail/11215.html,htps:/Uploads/Picture/2023/04/13/s6437a38b3904b.JPG
